Page URL,Image URL,Make,Model,Year of launch,Category,Rating,Price as new MSRP,Displacement cm3,Engine type,Engine details,Power PS,Power rpm,Torque Nm,Torque rpm,Top speed kmph,1/4 mil sec,0-100 km/h sec,60-140 km/h sec,Max RPM,Compression,Bore x stroke mm,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type final drive,Clutch,Driveline,Fuel consumption litres / 100 km,Greenhouse gases CO2 g/km,Emission details,Exhaust system,Frame type,Rake fork angle,Trail,Front suspension,Front wheel travel mm,Rear suspension,Rear wheel travel mm,Front tyre,Rear tyre,Front brakes,Front brakes diameter mm,Rear brakes,Rear brakes diameter mm,Wheels,Seat,Dry weight kg,Weight incl oil gas etc kg,Power/weight ratio HP/kgP,Seat height mm,Alternate seat height mm,Front percentage of weight,Rear percentage of weight,Overall height mm,Overall length mm,Overall width mm,Ground clearance mm,Wheelbase mm,Fuel capacity litres,Reserve fuel capacity litres,Oil capacity litres,Color options,Starter,Instruments,Electrical,Light,Carrying capacity,Factory warranty,Comments,Modifications compared to previous model
https://bikez.com/motorcycles/bmw_k_1_1993.php,https://bikez.com/pictures/bmw/1993/k 1.jpg,BMW,BMW K 1,1993,Unspecified category,67.6 out of 100. Show full rating and compare with other bikes,,987,,"In-line four, four-stroke",100,8000,100.03,6750,,,,,,,,4,,,,,,5-speed,,,,,,,,,,,,,,,,,Dual disc,,Single disc,,,,239,,0.4184,780,,,,,,,,,22,,,,,,,,,,,
https://bikez.com/motorcycles/bmw_k_1_1992.php,https://bikez.com/pictures/bmw/1992/k 1.jpg,BMW,BMW K 1,1992,Sport touring,69.2 out of 100. Show full rating and compare with other bikes,,987,,"In-line four, four-stroke",100,8000,,,235,,,,,11.0:1,67.0 x 70.0,4,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan),,,,,,,,,,,,,,120/70-17 ,160/60-18 ,Dual disc,,Single disc,,,,,264,,,,,,,,,,,22,,,,,,,,,,,
https://bikez.com/motorcycles/bmw_k_1_1991.php,https://bikez.com/pictures/bmw/1991/k 1.jpg,BMW,BMW K 1,1991,Allround,71.7 out of 100. Show full rating and compare with other bikes,,987,,"In-line four, four-stroke",100,8000,,,235,,,,,11.0:1,67.0 x 70.0,4,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan),,,,,,,,,,,,,,120/70-17 ,160/60-18 ,Dual disc,,Single disc,,,,,264,,,,,,,,,,,22,,,,,,,,,,,
https://bikez.com/motorcycles/bmw_k_1_1990.php,https://bikez.com/pictures/bmw/1990/k 1.jpg,BMW,BMW K 1,1990,Classic,67.4 out of 100. Show full rating and compare with other bikes,,987,,"In-line four, four-stroke",100,8000,,,235,,,,,11.0:1,67.0 x 70.0,4,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan),,,,,,,,,,,,,,120/70-17 ,160/60-18 ,Dual disc,,Single disc,,,,,264,,,,,,,,,,,22,,,,,,,,,,,
https://bikez.com/motorcycles/bmw_k_1_1989.php,https://bikez.com/pictures/bmw/1989/k 1.jpg,BMW,BMW K 1,1989,Sport touring,65.7 out of 100. Show full rating and compare with other bikes,,987,,"In-line four, four-stroke",100,8000,,,235,,,,,11.0:1,67.0 x 70.0,4,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan),,,,,,,,,,,,,,120/70-17 ,160/60-18 ,Dual disc,,Single disc,,,,,264,,,,,,,,,,,22,,,,,,,,,,,
https://bikez.com/motorcycles/bmw_k_100_1989.php,https://bikez.com/pictures/bmw/1989/k 100.jpg,BMW,BMW K 100,1989,Naked bike,66.6 out of 100. Show full rating and compare with other bikes,,987,,"In-line four, four-stroke",90,8000,,,218,,,,,10.2:1,67.0 x 70.0,2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243,,,,,,,,,,,21,,,,,,,,,,,
https://bikez.com/motorcycles/bmw_k_100_1988.php,https://bikez.com/pictures/bmw/1988/k 100.jpg,BMW,BMW K 100,1988,Sport touring,64.7 out of 100. Show full rating and compare with other bikes,,987,,"In-line four, four-stroke",90,8000,,,218,,,,,10.2:1,67.0 x 70.0,2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243,,,,,,,,,,,22,,,,,,,,,,,
https://bikez.com/motorcycles/bmw_k_100_1987.php,https://bikez.com/pictures/bmw/1987/k 100.jpg,BMW,BMW K 100,1987,Sport touring,61.1 out of 100. Show full rating and compare with other bikes,,987,,"In-line four, four-stroke",90,8000,,,218,,,,,10.2:1,67.0 x 70.0,2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243,,,,,,,,,,,22,,,,,,,,,,,
https://bikez.com/motorcycles/bmw_k_100_1986.php,https://bikez.com/pictures/bmw/1986/k 100.jpg,BMW,BMW K 100,1986,Touring,79 out of 100. Show full rating and compare with other bikes,,987,,"In-line four, four-stroke",90,8000,,,218,,,,,10.2:1,67.0 x 70.0,2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243,,,,,,,,,,,22,,,,,,,,,,,
https://bikez.com/motorcycles/bmw_k_100_1985.php,https://bikez.com/pictures/bmw/1985/k 100.jpg,BMW,BMW K 100,1985,Touring,75.8 out of 100. Show full rating and compare with other bikes,,987,,"In-line four, four-stroke",90,8000,,,218,,,,,10.2:1,67.0 x 70.0,2,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan),,,,,,,,,,,,,,100/90-18 ,130/90-17 ,Dual disc,,Single disc,,,,,243,,,,,,,,,,,22,,,,,,,,,,,
